new_product_code;allocation_type;corresponding_historical_product
10002911001;common_allocation;10024001001
10014055001;random_allocation;
10014069001;common_allocation;10014033001
10020006001;common_allocation;10020003001
10020093001;random_allocation;
10023004001;random_allocation;
10023023001;common_allocation;10023066001
10023025001;common_allocation;10023054001
10023075001;random_allocation;
10023087001;random_allocation;
10023102001;random_allocation;
10031909001;common_allocation;10034031001
10040078001;common_allocation;10040023001
10041014001;common_allocation;10002899001
10041069001;random_allocation;
10041087001;common_allocation;10031004001
10052046001;random_allocation;
10904008001;common_allocation;14240014001
10904899001;common_allocation;14240014001
11010038001;random_allocation;
11021095001;random_allocation;
11022021001;random_allocation;
11022077001;random_allocation;
11030183001;common_allocation;11030183002
11031908001;common_allocation;11022082001
11031918001;common_allocation;11023010001
11040029001;random_allocation;
11050019001;common_allocation;11112001001
11050055001;random_allocation;
11050104001;random_allocation;
11050111001;random_allocation;
11051016001;common_allocation;11051002001
11051030001;common_allocation;11103052001
11061024001;common_allocation;11061030001
11061027001;common_allocation;11061001001
11061050001;common_allocation;11061001001
11070006001;random_allocation;
11070019001;common_allocation;11030018001
11070037001;common_allocation;31424001001
11070040001;random_allocation;
11070042001;common_allocation;11070015001
11070046001;common_allocation;11032220001
11070054001;common_allocation;11042005001
11071909001;random_allocation;
11072004001;common_allocation;31424001001
11072019001;random_allocation;
11072906001;common_allocation;11032220001
11073001001;random_allocation;
11073032001;random_allocation;
11073899001;common_allocation;11073900001
11075006001;random_allocation;
11075039001;random_allocation;
11101002001;random_allocation;
11103011003;random_allocation;
11103011004;random_allocation;
11103110001;common_allocation;11100015001
11103296001;random_allocation;
11112005001;common_allocation;11103086002
11112017001;random_allocation;
12000020001;common_allocation;12010110001
12000044001;common_allocation;12012168001
12000149001;common_allocation;12002118001
12000196001;random_allocation;
12000224001;common_allocation;12000225001
12000270001;random_allocation;
12000275001;common_allocation;12002026001
12000276001;random_allocation;
12000285001;random_allocation;
12000295001;common_allocation;12011433001
12000309001;random_allocation;
12000396001;random_allocation;
12000468001;random_allocation;
12000485001;random_allocation;
12000494001;common_allocation;12000125001
12001018001;random_allocation;
12001071001;common_allocation;12001077001
12001076001;common_allocation;12001077001
12001093001;common_allocation;12001004001
12002009001;common_allocation;12000206001
12002036001;random_allocation;
12002119001;random_allocation;
12002158001;common_allocation;12000319001
12003046001;common_allocation;12023227001
12003058001;random_allocation;
12003064001;random_allocation;
12004063001;common_allocation;12012014001
12005003005;common_allocation;12020326001
12005007001;random_allocation;
12005015001;common_allocation;12005015002
12005015003;common_allocation;12005015002
12005015004;common_allocation;12005015002
12005015006;common_allocation;12005015002
12005015008;common_allocation;12005015002
12005019005;common_allocation;12005019002
12005072003;random_allocation;
12005072005;random_allocation;
12005082008;common_allocation;12005082002
12005083002;common_allocation;12005082002
12005084001;common_allocation;12005084004
12005084002;common_allocation;12005084004
12005084005;common_allocation;12005084004
12005084009;common_allocation;12005084004
12005107006;common_allocation;12005108003
12005109003;random_allocation;
12006020001;common_allocation;12006048001
12006067001;random_allocation;
12006135001;random_allocation;
12006144001;random_allocation;
12010003001;random_allocation;
12010056001;random_allocation;
12010058001;random_allocation;
12010147001;common_allocation;12010149001
12010156001;random_allocation;
12010180001;random_allocation;
12010206001;common_allocation;12010193001
12010214001;random_allocation;
12010261001;random_allocation;
12011038001;random_allocation;
12011140001;random_allocation;
12011142001;common_allocation;12000381001
12011173001;random_allocation;
12011204001;random_allocation;
12011293001;common_allocation;12011084001
12011342001;common_allocation;12011329001
12011357001;common_allocation;12002949001
12011358001;common_allocation;12010119001
12011479001;random_allocation;
12012003001;random_allocation;
12012012001;random_allocation;
12012048001;common_allocation;12022047001
12012118001;random_allocation;
12012165001;random_allocation;
12012171001;common_allocation;12000320001
12013034001;common_allocation;12020045001
12014022001;random_allocation;
12014025001;common_allocation;12014032001
12017039001;common_allocation;12017040001
12020021001;common_allocation;12100101001
12020050001;common_allocation;12102058001
12020070001;random_allocation;
12020138001;random_allocation;
12020148001;random_allocation;
12020166001;random_allocation;
12020189001;common_allocation;12102002001
12020234001;random_allocation;
12020250001;random_allocation;
12020283001;common_allocation;12020282001
12020312001;random_allocation;
12020341001;random_allocation;
12020342001;common_allocation;12020035001
12020471001;common_allocation;12016078001
12020956001;random_allocation;
12021042001;common_allocation;12021028001
12021052001;random_allocation;
12021069001;random_allocation;
12021993001;common_allocation;12020089001
12022005001;random_allocation;
12022008001;random_allocation;
12022027001;common_allocation;12020078001
12022030001;random_allocation;
12022062001;common_allocation;12020249001
12022100001;common_allocation;12003090001
12022127001;common_allocation;12003911001
12022224001;random_allocation;
12022275001;random_allocation;
12023022001;random_allocation;
12023079001;random_allocation;
12023125001;random_allocation;
12023195001;common_allocation;12110074001
12023202001;common_allocation;12110074001
12023263001;common_allocation;12022184001
12023278001;random_allocation;
12031016001;random_allocation;
12032035001;common_allocation;12034100001
12032072001;common_allocation;12010200001
12034063001;random_allocation;
12034171001;random_allocation;
12034172001;common_allocation;12106004001
12100017001;random_allocation;
12101001002;random_allocation;
12102100001;random_allocation;
12102107001;common_allocation;12102002001
12102141001;random_allocation;
12103005001;common_allocation;12103040001
12103066001;random_allocation;
12103081001;common_allocation;12103183001
12103154001;random_allocation;
12103179001;random_allocation;
12104027001;common_allocation;12103040001
12105002001;common_allocation;12000381001
12105036001;random_allocation;
12106005001;random_allocation;
12106034001;random_allocation;
12106036002;common_allocation;12022096001
12106066001;common_allocation;12103072001
12120040001;random_allocation;
12120043001;common_allocation;12120082001
12120087001;common_allocation;12123086001
12121032001;common_allocation;12122021001
12122037001;common_allocation;12121066001
12123044001;random_allocation;
12123151001;common_allocation;12123147001
12130006001;common_allocation;12130011001
12130084001;common_allocation;12130089001
12150004001;random_allocation;
12201099001;common_allocation;12201059001
12211004001;random_allocation;
12230008001;random_allocation;
12230999001;common_allocation;12232017001
12232010001;common_allocation;12233034001
12234005001;common_allocation;12233034001
12234920001;common_allocation;12233035001
12234934001;common_allocation;12233034001
12326002001;common_allocation;12232017001
12326005001;random_allocation;
12327014001;common_allocation;14411016001
12327015001;common_allocation;12327027001
12327058001;random_allocation;
12343304001;common_allocation;12327052001
12344036001;random_allocation;
14002032001;common_allocation;14002002001
14010899001;random_allocation;
14104028001;random_allocation;
14133899001;random_allocation;
14204022001;random_allocation;
14222121001;common_allocation;14222119001
14223046001;random_allocation;
14225008001;random_allocation;
14241001001;common_allocation;14241004001
14243076001;common_allocation;14210047001
14304014001;random_allocation;
14304084001;common_allocation;14304157001
14304301001;random_allocation;
14304302001;random_allocation;
14310096001;common_allocation;14310209001
14310101001;random_allocation;
14311076001;random_allocation;
14311262001;common_allocation;14311095001
14312012001;random_allocation;
14333004001;common_allocation;14333006001
14353009001;common_allocation;14601009001
14353030001;random_allocation;
14361122001;random_allocation;
14361124001;random_allocation;
14370073001;common_allocation;14370025001
14411901001;random_allocation;
14501905001;random_allocation;
14502044001;common_allocation;14506887001
14506006001;common_allocation;14506001001
14506012001;common_allocation;14506038001
14506122001;common_allocation;14506041001
14506132001;common_allocation;14506139001
14506357001;common_allocation;14506033001
14509021001;common_allocation;14509035001
14509037001;common_allocation;14509035001
14510121001;random_allocation;
14510194001;common_allocation;14510294001
14522044001;common_allocation;14521148001
14602013001;random_allocation;
14602033001;random_allocation;
14602085001;random_allocation;
14603001001;common_allocation;14603026001
14603013001;common_allocation;14603026001
14612922001;random_allocation;
14615059001;random_allocation;
14615076001;common_allocation;14833033001
14616053001;common_allocation;14616038001
14616075001;random_allocation;
14620035001;random_allocation;
14620124001;random_allocation;
14620168001;random_allocation;
14621062001;common_allocation;14621012001
14631042001;random_allocation;
14632019001;common_allocation;14506145001
14634023001;common_allocation;14822965001
14700031001;random_allocation;
14701067001;common_allocation;14301109001
14720003001;common_allocation;14720022001
14740035001;random_allocation;
14741050001;common_allocation;14741049001
14832009001;random_allocation;
14832044001;random_allocation;
14850003001;common_allocation;14850175001
14850036001;common_allocation;14850135001
14850082001;random_allocation;
14850103001;random_allocation;
14851006001;common_allocation;14851121001
14852006001;common_allocation;14852008001
14853047001;common_allocation;14853046001
14853049001;random_allocation;
15022014001;random_allocation;
15023036001;common_allocation;15023035001
15023038001;random_allocation;
30045079001;random_allocation;
30071044001;random_allocation;
30073022001;random_allocation;
30430005001;random_allocation;
31118021001;common_allocation;30450010001
31175002001;common_allocation;65106036001
31182015001;common_allocation;31568043001
31215012001;random_allocation;
31226017001;common_allocation;31214010001
31251002001;common_allocation;31250003001
31270006001;random_allocation;
31422899001;random_allocation;
31455014001;random_allocation;
31530083001;common_allocation;31530043001
31533034001;common_allocation;31473004001
31545006001;random_allocation;
31568071001;common_allocation;31621032001
31580049002;random_allocation;
31581023001;common_allocation;31762901001
31602031001;random_allocation;
31621043001;common_allocation;31042914001
31623901001;random_allocation;
31670002001;common_allocation;31801024001
31677015001;random_allocation;
31677045001;common_allocation;31677014001
31753028001;common_allocation;30073068001
31801003001;random_allocation;
31827008001;random_allocation;
32404004002;random_allocation;
32411076001;common_allocation;31607015001
32412056001;random_allocation;
32420004001;common_allocation;31236033001
32420006001;random_allocation;
32420015001;common_allocation;32420014001
32431036001;common_allocation;31250003001
32431067001;common_allocation;31273002001
32470079001;common_allocation;32470025001
32503007002;common_allocation;32504025002
32503035001;common_allocation;32470093001
32507026001;random_allocation;
32510002001;common_allocation;32470093001
32511021001;common_allocation;31235904001
32514005001;random_allocation;
32517009001;common_allocation;31235904001
32524032001;common_allocation;35122015001
33523001001;common_allocation;33524002001
34122003001;common_allocation;31273002001
34511006001;random_allocation;
35301020001;common_allocation;35302003001
35302038001;common_allocation;35302040001
41201002001;common_allocation;41223066001
41202003001;random_allocation;
41212906001;common_allocation;41310001001
41220010001;common_allocation;41223010001
41232043001;random_allocation;
41232052001;random_allocation;
41244001001;common_allocation;41223066001
41301002001;random_allocation;
41302901001;common_allocation;41223066001
41303011001;common_allocation;41521020001
41303054001;random_allocation;
41333047001;common_allocation;41332022001
41401022001;random_allocation;
41417001001;common_allocation;41223066001
41420006001;common_allocation;41232047001
41422018001;common_allocation;41223010001
41601012001;common_allocation;41223010001
41601014001;common_allocation;41522089001
41601020001;common_allocation;41223066001
61063005002;common_allocation;61062008001
61064197001;common_allocation;61064012003
61070019001;common_allocation;61131059001
61080025003;random_allocation;
65011150001;common_allocation;31827020001
65090016001;random_allocation;
